subzone_name,subzone_code,area_km2,population_total,population_male,population_female,population_elderly_65plus,population_density,hawker_centres,parks,supermarkets,gyms,community_clubs,amenity_count,amenity_density,mrt_exits,mrt_station_count,cycling_path_km,park_connector_km,nparks_track_km,sport_facilities,green_space_area_km2,green_space_pct,abc_waters_area_km2,building_count,hdb_count,mean_height_m,max_height_m,avg_hdb_year,total_dwelling_units,dwelling_density,resale_median_price,resale_transaction_count,lst_mean_c,ndvi_mean,ndbi_mean,ghsl_height_mean,dsm_mean,dem_mean,canopy_cover_pct,canopy_loss_pct,gvi_mean,intersection_density,transit_access_score,destination_accessibility,walkability_index,transit_access_slope,dest_access_slope,walkability_slope
MARITIME SQUARE,BMSZ01,2.717,3620,1770,1850,490,1332,0,5,2,4,0,11,4.0,8,3,0.0,0.13,22.61,0,0.825,30.4,0.0401,241,0,16.2,138.0,,0,0,,0,37.28,0.5765,-0.1448,4.74,25.68,24.35,34.34,3.36,,244.0,1.6438,1.2373,-2.412,1.1389,0.8627,-2.1484
BUKIT MERAH,BMSZ02,0.414,1110,550,570,270,2678,1,0,1,1,0,3,7.2,0,0,0.0,0.46,1.59,0,0.0357,8.6,0.0,45,0,17.0,75.0,,0,0,,0,41.47,0.3597,-0.023,30.63,22.92,26.76,12.84,0,,494.6,0.9806,2.2852,-0.3465,0.7838,1.4804,-0.126
REDHILL,BMSZ03,0.39,10620,5150,5470,1710,27215,2,0,1,0,1,4,10.3,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,87,8,29.2,147.0,1989,442,1133,980000,97,39.76,0.3207,-0.0005,29.09,15.2,17.43,1.24,3.69,,868.7,2.641,2.6577,4.0428,2.017,1.8391,5.3457
TIONG BAHRU STATION,BMSZ04,0.353,15120,7140,7980,2820,42814,0,0,3,0,0,3,8.5,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,84,0,40.2,108.0,,0,0,984000,100,37.5,0.3817,-0.0063,39.22,28.45,27.85,7.19,1.69,,815.5,3.7326,3.3527,6.1392,1.9077,1.8977,4.9903
SINGAPORE GENERAL HOSPITAL,BMSZ05,0.537,10,0,0,0,19,0,0,0,0,0,0,0.0,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,54,0,12.2,39.0,,0,0,,0,41.48,0.3135,0.0006,24.11,22.07,23.77,14.6,1.98,,579.6,1.7183,1.3587,-0.4761,1.2111,0.959,-0.0848
ALEXANDRA NORTH,BMSZ06,0.296,2620,1230,1400,170,8861,0,0,0,0,0,0,0.0,0,0,0.0,1.37,1.37,0,0.0,0.0,0.0378,46,0,41.1,144.0,,0,0,,0,39.86,0.3758,-0.0163,24.88,7.13,11.59,4.72,5.81,,399.1,1.481,1.949,-0.7435,1.0081,1.2747,-0.6259
ALEXANDRA HILL,BMSZ07,1.037,13490,6630,6860,3420,13005,2,0,2,0,1,5,4.8,0,0,0.0,0.5,1.88,1,0.0382,3.7,0.0,168,18,16.8,90.0,1980,2290,2208,682500,56,42.09,0.3063,0.0393,28.12,23.6,22.94,5.93,0.01,,705.7,1.0155,1.8837,0.1228,0.7432,1.3386,0.4708
HENDERSON HILL,BMSZ08,0.599,13320,6490,6830,3340,22227,1,1,0,1,1,4,6.7,0,0,0.0,1.75,3.18,1,0.0336,5.6,0.0,97,0,19.2,144.0,,0,0,945000,146,38.98,0.4234,-0.0353,25.38,18.28,19.94,12.48,2.91,,640.8,1.2719,2.1582,0.5268,0.97,1.4823,1.012
BUKIT HO SWEE,BMSZ09,0.555,14390,7050,7340,3620,25907,2,1,2,0,1,6,10.8,4,1,0.09,0.87,1.0,0,0.0034,0.6,0.0034,119,0,24.3,120.0,,0,0,770000,221,39.64,0.3478,0.0073,32.37,13.72,19.85,6.34,2.92,,536.5,2.6592,2.3814,1.9955,1.426,1.6243,1.858
TIONG BAHRU,BMSZ10,0.451,12890,5990,6900,2600,28572,1,1,1,0,1,4,8.9,1,1,0.0,0.0,0.0,0,0.0039,0.9,0.0043,157,4,23.9,120.0,1937,0,0,800100,165,41.23,0.342,0.0197,27.0,16.6,19.25,5.76,0.8,,749.2,2.238,2.9523,3.4269,1.049,1.9299,2.855
KAMPONG TIONG BAHRU,BMSZ11,0.368,9010,4440,4560,2540,24497,1,1,2,1,0,5,13.6,0,0,0.0,0.0,0.98,0,0.0266,7.2,0.0,53,0,28.8,168.0,,0,0,440000,13,39.57,0.4475,-0.0546,26.6,22.75,22.77,13.33,0.61,,445.9,0.9975,1.8219,-1.2794,0.6809,1.1116,-1.5266
DEPOT ROAD,BMSZ12,0.445,6540,3090,3450,1060,14687,0,0,2,0,0,2,4.5,0,0,0.0,0.32,0.32,0,0.0,0.0,0.0,85,0,23.3,78.0,,0,0,770000,131,39.9,0.4074,-0.0494,20.75,36.44,35.52,15.41,2.53,,422.2,0.5793,1.8472,-1.8528,0.4352,1.0628,-2.3077
TELOK BLANGAH DRIVE,BMSZ13,1.465,19320,9170,10140,3780,13189,3,1,1,1,1,7,4.8,0,0,0.0,1.0,12.51,0,0.3675,25.1,0.0,181,0,22.4,114.6,,0,0,802888,693,38.51,0.5766,-0.1322,11.94,40.45,41.18,36.22,1.99,,458.8,1.2177,1.8002,-0.9882,0.8498,1.2318,-0.7871
TELOK BLANGAH WAY,BMSZ14,0.279,9230,4610,4620,2350,33119,1,0,1,0,1,3,10.8,0,0,0.0,0.25,0.25,0,0.0,0.0,0.0,51,0,27.3,90.0,,0,0,391444,210,40.58,0.4652,-0.0479,23.91,34.91,33.2,9.81,0,,581.3,0.6838,2.033,-0.6561,0.4684,1.2762,-0.9072
TELOK BLANGAH RISE,BMSZ15,0.537,12150,5740,6420,3310,22623,1,0,1,0,0,2,3.7,0,0,0.0,0.0,0.04,0,0.0,0.0,0.0,99,16,20.7,75.0,1975,1893,3525,391500,72,40.26,0.4699,-0.0464,24.24,27.73,21.11,17.74,0.74,,515.8,0.7579,1.7211,-1.3718,0.5235,1.1168,-1.5136
EVERTON PARK,BMSZ16,0.64,7810,3680,4120,1890,12203,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.65,0,0.0058,0.9,0.0,243,0,15.2,108.0,,0,0,920000,88,41.41,0.3412,-0.0,26.21,14.68,18.19,7.76,9.52,,559.4,1.4205,1.0395,-1.419,0.8449,0.6726,-1.7149
CITY TERMINALS,BMSZ17,3.475,20,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,64,0,10.3,20.0,,0,0,,0,44.02,0.1576,0.0665,13.72,9.17,10.77,4.76,1.06,,44.6,1.0142,0.87,-4.7085,0.6599,0.6253,-4.7897
