subzone_name,subzone_code,area_km2,population_total,population_male,population_female,population_elderly_65plus,population_density,hawker_centres,parks,supermarkets,gyms,community_clubs,amenity_count,amenity_density,mrt_exits,mrt_station_count,cycling_path_km,park_connector_km,building_count,hdb_count,mean_height_m,max_height_m,resale_median_price,resale_transaction_count
GHIM MOH,QTSZ01,0.489,13850,6470,7380,3190,28332,1,0,3,0,1,5,10.2,0,0,0.0,0.95,67,38,35.8,120.0,809000,434
HOLLAND DRIVE,QTSZ02,0.474,12680,5760,6920,3490,26760,2,1,3,1,1,8,16.9,2,1,0.0,0.0,112,39,25.9,120.0,525000,300
COMMONWEALTH,QTSZ03,0.313,7000,3230,3770,1820,22391,1,0,0,0,0,1,3.2,2,1,0.17,0.0,49,37,23.2,48.0,330000,197
TANGLIN HALT,QTSZ04,0.561,10590,4960,5630,2640,18876,2,0,1,0,0,3,5.3,2,1,0.37,0.0,72,31,26.1,141.0,854444,154
MARGARET DRIVE,QTSZ05,1.033,16090,7710,8380,2480,15569,1,0,2,0,0,3,2.9,2,1,0.68,1.54,174,77,43.3,144.0,945000,413
MEI CHIN,QTSZ06,0.754,15570,7350,8210,3270,20657,1,0,3,0,1,5,6.6,2,1,0.0,0.95,201,59,20.2,120.0,415000,249
QUEENSWAY,QTSZ07,0.633,270,130,140,50,426,0,0,0,0,0,0,0.0,0,0,0.0,0.58,76,0,11.2,70.8,,0
ONE NORTH,QTSZ08,2.017,720,350,370,30,357,0,1,3,2,0,6,3.0,8,2,3.52,0.0,264,0,15.0,120.0,,0
SINGAPORE POLYTECHNIC,QTSZ09,0.954,100,0,0,0,105,0,0,0,0,0,0,0.0,2,1,0.14,1.72,172,0,12.9,135.0,,0
DOVER,QTSZ10,1.39,11080,5260,5820,2100,7973,0,0,1,0,1,2,1.4,0,0,0.0,0.0,228,27,15.8,120.0,735000,183
NATIONAL UNIVERSITY OF S'PORE,QTSZ11,1.765,240,70,170,0,136,0,0,1,0,0,1,0.6,3,1,0.0,0.0,393,0,14.6,112.4,,0
KENT RIDGE,QTSZ12,1.839,0,0,0,0,0,0,3,0,0,0,3,1.6,1,1,0.0,0.0,217,0,12.3,72.0,,0
PASIR PANJANG 1,QTSZ13,1.092,4510,2200,2300,610,4130,0,0,0,0,0,0,0.0,1,1,0.0,0.0,619,0,10.3,36,,0
PASIR PANJANG 2,QTSZ14,0.859,3060,1490,1570,590,3562,0,2,2,1,0,5,5.8,0,0,0.0,0.0,692,0,10.1,183.0,,0
PORT,QTSZ15,7.657,120,60,60,20,16,1,2,0,0,0,3,0.4,1,1,0.0,6.13,225,0,10.2,60.0,,0
